subject,src,n_trials,score
sub63,picture10_neutral.jpg,1,5
sub63,picture1_neutral.jpg,1,7
sub63,picture1_threat.jpg,1,18
sub63,picture2_threat.jpg,1,18
sub63,picture3_neutral.jpg,1,9
sub63,picture3_threat.jpg,1,7
sub63,picture4_threat.jpg,1,17
sub63,picture5_neutral.jpg,1,14
sub63,picture7_neutral.jpg,1,16
sub63,picture9_neutral.jpg,1,12
sub65,picture10_neutral.jpg,1,1
sub65,picture1_threat.jpg,1,9
sub65,picture2_threat.jpg,1,6
sub65,picture3_neutral.jpg,1,10
sub65,picture3_threat.jpg,1,10
sub65,picture4_neutral.jpg,1,9
sub65,picture4_threat.jpg,1,9
sub65,picture5_neutral.jpg,1,8
sub65,picture7_neutral.jpg,1,6
sub65,picture9_neutral.jpg,1,3
sub66,picture10_neutral.jpg,1,1
sub66,picture1_neutral.jpg,1,1
sub66,picture1_threat.jpg,1,1
sub66,picture2_neutral.jpg,1,2
sub66,picture2_threat.jpg,1,1
sub66,picture3_threat.jpg,1,1
sub66,picture4_neutral.jpg,1,2
sub66,picture4_threat.jpg,1,1
sub66,picture6_neutral.jpg,1,1
sub66,picture9_neutral.jpg,1,1
sub74,picture1_neutral.jpg,1,1
sub74,picture1_threat.jpg,1,1
sub74,picture2_threat.jpg,1,1
sub74,picture3_neutral.jpg,1,1
sub74,picture3_threat.jpg,1,1
sub74,picture4_neutral.jpg,1,1
sub74,picture4_threat.jpg,1,1
sub74,picture5_neutral.jpg,1,3
sub74,picture6_neutral.jpg,1,3
sub74,picture7_neutral.jpg,1,1
sub79,picture10_neutral.jpg,3,2
sub79,picture1_neutral.jpg,3,6
sub79,picture1_threat.jpg,3,4.666666666666667
sub79,picture2_threat.jpg,3,3.6666666666666665
sub79,picture3_threat.jpg,3,6
sub79,picture4_neutral.jpg,3,1
sub79,picture4_threat.jpg,3,1
sub79,picture6_neutral.jpg,3,5.333333333333333
sub79,picture7_neutral.jpg,3,5.666666666666666
sub79,picture9_neutral.jpg,3,6.666666666666666
sub98,picture10_neutral.jpg,2,1
sub98,picture1_threat.jpg,2,1
sub98,picture2_threat.jpg,2,1
sub98,picture3_neutral.jpg,2,2
sub98,picture3_threat.jpg,2,3
sub98,picture4_neutral.jpg,2,3.5
sub98,picture4_threat.jpg,2,3.5
sub98,picture5_neutral.jpg,2,3.5
sub98,picture6_neutral.jpg,2,1
sub98,picture7_neutral.jpg,2,2.5
