subject,src,n_trials,score
sub19,picture9_neutral.jpg,1,15
sub2,picture10_neutral.jpg,1,19
sub2,picture1_neutral.jpg,1,9
sub2,picture1_threat.jpg,1,11
sub2,picture2_threat.jpg,1,20
sub2,picture3_neutral.jpg,1,19
sub2,picture3_threat.jpg,1,15
sub2,picture4_neutral.jpg,1,21
sub2,picture4_threat.jpg,1,21
sub2,picture8_neutral.jpg,1,6
sub2,picture9_neutral.jpg,1,1
sub20,picture1_neutral.jpg,2,11.5
sub20,picture1_threat.jpg,2,12
sub20,picture2_threat.jpg,2,10.5
sub20,picture3_neutral.jpg,2,11.5
sub20,picture3_threat.jpg,2,3.5
sub20,picture4_neutral.jpg,2,1
sub20,picture4_threat.jpg,2,8.5
sub20,picture5_neutral.jpg,2,1
sub20,picture7_neutral.jpg,2,1
sub20,picture9_neutral.jpg,2,9
sub21,picture10_neutral.jpg,2,14.5
sub21,picture1_threat.jpg,2,13
sub21,picture2_threat.jpg,2,12
sub21,picture3_neutral.jpg,2,5.5
sub21,picture3_threat.jpg,2,9.5
sub21,picture4_neutral.jpg,2,3
sub21,picture4_threat.jpg,2,14.5
sub21,picture5_neutral.jpg,2,10.5
sub21,picture6_neutral.jpg,2,8
sub21,picture9_neutral.jpg,2,2
sub22,picture10_neutral.jpg,1,4
sub22,picture1_neutral.jpg,1,2
sub22,picture1_threat.jpg,1,14
sub22,picture2_threat.jpg,1,14
sub22,picture3_threat.jpg,1,4
sub22,picture4_neutral.jpg,1,13
sub22,picture4_threat.jpg,1,1
sub22,picture5_neutral.jpg,1,13
sub22,picture8_neutral.jpg,1,9
sub22,picture9_neutral.jpg,1,9
sub23,picture10_neutral.jpg,2,10.5
sub23,picture1_neutral.jpg,2,11
sub23,picture1_threat.jpg,2,11.5
sub23,picture2_neutral.jpg,2,12.5
sub23,picture2_threat.jpg,2,8
sub23,picture3_threat.jpg,2,13
sub23,picture4_threat.jpg,2,9
sub23,picture6_neutral.jpg,2,13
sub23,picture8_neutral.jpg,2,5.5
sub23,picture9_neutral.jpg,2,12
sub24,picture10_neutral.jpg,1,1
sub24,picture1_neutral.jpg,1,1
sub24,picture1_threat.jpg,1,10
sub24,picture2_neutral.jpg,1,2
sub24,picture2_threat.jpg,1,1
sub24,picture3_threat.jpg,1,13
sub24,picture4_threat.jpg,1,11
sub24,picture5_neutral.jpg,1,13
sub24,picture6_neutral.jpg,1,12
sub24,picture8_neutral.jpg,1,8
sub25,picture1_threat.jpg,1,9
sub25,picture2_neutral.jpg,1,9
sub25,picture2_threat.jpg,1,15
sub25,picture3_neutral.jpg,1,1
sub25,picture3_threat.jpg,1,18
sub25,picture4_neutral.jpg,1,4
sub25,picture4_threat.jpg,1,10
sub25,picture5_neutral.jpg,1,17
sub25,picture6_neutral.jpg,1,18
sub25,picture7_neutral.jpg,1,13
sub26,picture1_neutral.jpg,1,1
sub26,picture1_threat.jpg,1,1
sub26,picture2_neutral.jpg,1,1
sub26,picture2_threat.jpg,1,8
sub26,picture3_threat.jpg,1,9
sub26,picture4_threat.jpg,1,14
sub26,picture5_neutral.jpg,1,12
sub26,picture6_neutral.jpg,1,15
sub26,picture7_neutral.jpg,1,15
sub26,picture9_neutral.jpg,1,8
sub28,picture1_threat.jpg,2,16.5
sub28,picture2_neutral.jpg,2,5.5
sub28,picture2_threat.jpg,2,10.5
sub28,picture3_neutral.jpg,2,11.5
sub28,picture3_threat.jpg,2,18.5
sub28,picture4_neutral.jpg,2,16
sub28,picture4_threat.jpg,2,9
sub28,picture5_neutral.jpg,2,3.5
sub28,picture8_neutral.jpg,2,18.5
sub28,picture9_neutral.jpg,2,16
sub29,picture10_neutral.jpg,1,21
sub29,picture1_neutral.jpg,1,19
sub29,picture1_threat.jpg,1,28
sub29,picture2_neutral.jpg,1,28
sub29,picture2_threat.jpg,1,14
sub29,picture3_neutral.jpg,1,24
sub29,picture3_threat.jpg,1,4
sub29,picture4_threat.jpg,1,26
sub29,picture5_neutral.jpg,1,27
sub29,picture7_neutral.jpg,1,7
sub30,picture10_neutral.jpg,1,15
sub30,picture1_threat.jpg,1,3
sub30,picture2_threat.jpg,1,7
sub30,picture3_neutral.jpg,1,14
sub30,picture3_threat.jpg,1,11
sub30,picture4_neutral.jpg,1,13
sub30,picture4_threat.jpg,1,9
sub30,picture5_neutral.jpg,1,15
sub30,picture6_neutral.jpg,1,1
sub30,picture9_neutral.jpg,1,4
sub31,picture10_neutral.jpg,2,5.5
sub31,picture1_threat.jpg,2,6.5
sub31,picture2_neutral.jpg,2,4.5
sub31,picture2_threat.jpg,2,5.5
sub31,picture3_threat.jpg,2,9
sub31,picture4_neutral.jpg,2,10.5
sub31,picture4_threat.jpg,2,8
sub31,picture6_neutral.jpg,2,10
sub31,picture8_neutral.jpg,2,9.5
sub31,picture9_neutral.jpg,2,3.5
sub32,picture1_neutral.jpg,1,5
sub32,picture1_threat.jpg,1,8
sub32,picture2_neutral.jpg,1,10
sub32,picture2_threat.jpg,1,1
sub32,picture3_threat.jpg,1,11
sub32,picture4_neutral.jpg,1,7
sub32,picture4_threat.jpg,1,11
sub32,picture5_neutral.jpg,1,9
sub32,picture6_neutral.jpg,1,2
sub32,picture9_neutral.jpg,1,4
sub33,picture10_neutral.jpg,1,8
sub33,picture1_neutral.jpg,1,10
sub33,picture1_threat.jpg,1,1
sub33,picture2_neutral.jpg,1,7
sub33,picture2_threat.jpg,1,1
sub33,picture3_neutral.jpg,1,1
sub33,picture3_threat.jpg,1,9
sub33,picture4_threat.jpg,1,2
sub33,picture5_neutral.jpg,1,10
sub33,picture6_neutral.jpg,1,3
sub34,picture10_neutral.jpg,6,6.166666666666667
sub34,picture1_neutral.jpg,6,5.166666666666667
sub34,picture1_threat.jpg,6,10.333333333333332
sub34,picture2_neutral.jpg,6,8
sub34,picture2_threat.jpg,6,9.666666666666666
sub34,picture3_neutral.jpg,6,5
sub34,picture3_threat.jpg,6,5.5
sub34,picture4_threat.jpg,6,10.333333333333334
sub34,picture5_neutral.jpg,6,10
sub34,picture8_neutral.jpg,6,9.166666666666668
sub35,picture1_neutral.jpg,1,2
sub35,picture1_threat.jpg,1,36
sub35,picture2_neutral.jpg,1,12
sub35,picture2_threat.jpg,1,34
sub35,picture3_neutral.jpg,1,32
sub35,picture3_threat.jpg,1,35
sub35,picture4_threat.jpg,1,37
sub35,picture6_neutral.jpg,1,32
sub35,picture7_neutral.jpg,1,17
sub35,picture8_neutral.jpg,1,37
sub36,picture1_threat.jpg,1,30
sub36,picture2_neutral.jpg,1,28
sub36,picture2_threat.jpg,1,24
sub36,picture3_neutral.jpg,1,29
sub36,picture3_threat.jpg,1,12
sub36,picture4_neutral.jpg,1,30
sub36,picture4_threat.jpg,1,15
sub36,picture5_neutral.jpg,1,4
sub36,picture6_neutral.jpg,1,27
sub36,picture7_neutral.jpg,1,6
sub37,picture1_threat.jpg,2,1
sub37,picture2_neutral.jpg,2,3
sub37,picture2_threat.jpg,2,5.5
sub37,picture3_neutral.jpg,2,4.5
sub37,picture3_threat.jpg,2,5
sub37,picture4_neutral.jpg,2,2.5
sub37,picture4_threat.jpg,2,3.5
sub37,picture6_neutral.jpg,2,4.5
sub37,picture7_neutral.jpg,2,4.5
sub37,picture9_neutral.jpg,2,5
sub38,picture1_neutral.jpg,2,1.5
sub38,picture1_threat.jpg,2,5.5
sub38,picture2_threat.jpg,2,3
sub38,picture3_neutral.jpg,2,3
sub38,picture3_threat.jpg,2,6
sub38,picture4_neutral.jpg,2,4.5
sub38,picture4_threat.jpg,2,6.5
sub38,picture7_neutral.jpg,2,3
sub38,picture8_neutral.jpg,2,5
sub38,picture9_neutral.jpg,2,3
sub39,picture10_neutral.jpg,1,10
sub39,picture1_neutral.jpg,1,1
sub39,picture1_threat.jpg,1,12
sub39,picture2_neutral.jpg,1,5
sub39,picture2_threat.jpg,1,1
sub39,picture3_threat.jpg,1,12
sub39,picture4_threat.jpg,1,5
sub39,picture6_neutral.jpg,1,1
sub39,picture8_neutral.jpg,1,6
sub39,picture9_neutral.jpg,1,11
sub4,picture10_neutral.jpg,1,3
sub4,picture1_neutral.jpg,1,4
sub4,picture1_threat.jpg,1,1
sub4,picture2_threat.jpg,1,2
sub4,picture3_threat.jpg,1,4
sub4,picture4_threat.jpg,1,3
sub4,picture5_neutral.jpg,1,5
sub4,picture6_neutral.jpg,1,1
sub4,picture7_neutral.jpg,1,4
sub4,picture9_neutral.jpg,1,5
sub40,picture10_neutral.jpg,2,8.5
sub40,picture1_neutral.jpg,2,14
sub40,picture1_threat.jpg,2,15.5
sub40,picture2_neutral.jpg,2,15
sub40,picture2_threat.jpg,2,16
sub40,picture3_threat.jpg,2,5.5
sub40,picture4_neutral.jpg,2,16
sub40,picture4_threat.jpg,2,5
sub40,picture7_neutral.jpg,2,10.5
sub40,picture9_neutral.jpg,2,16.5
sub41,picture10_neutral.jpg,6,1.1666666666666667
sub41,picture1_neutral.jpg,6,5.5
sub41,picture1_threat.jpg,6,3.5
sub41,picture2_neutral.jpg,6,5.166666666666666
sub41,picture2_threat.jpg,6,3
sub41,picture3_neutral.jpg,6,4.166666666666666
sub41,picture3_threat.jpg,6,4.833333333333334
sub41,picture4_threat.jpg,6,5.166666666666666
sub41,picture7_neutral.jpg,6,5.666666666666666
sub41,picture9_neutral.jpg,6,4.166666666666666
sub42,picture1_threat.jpg,1,30
sub42,picture2_threat.jpg,1,31
sub42,picture3_neutral.jpg,1,21
sub42,picture3_threat.jpg,1,23
sub42,picture4_neutral.jpg,1,1
sub42,picture4_threat.jpg,1,24
sub42,picture6_neutral.jpg,1,31
sub42,picture7_neutral.jpg,1,7
sub42,picture8_neutral.jpg,1,26
sub42,picture9_neutral.jpg,1,29
sub43,picture1_neutral.jpg,1,21
sub43,picture1_threat.jpg,1,15
sub43,picture2_neutral.jpg,1,26
sub43,picture2_threat.jpg,1,18
sub43,picture3_neutral.jpg,1,21
sub43,picture3_threat.jpg,1,29
sub43,picture4_threat.jpg,1,27
sub43,picture5_neutral.jpg,1,29
sub43,picture8_neutral.jpg,1,10
sub43,picture9_neutral.jpg,1,25
sub44,picture1_neutral.jpg,1,1
sub44,picture1_threat.jpg,1,13
sub44,picture2_neutral.jpg,1,9
sub44,picture2_threat.jpg,1,8
sub44,picture3_threat.jpg,1,11
sub44,picture4_threat.jpg,1,13
sub44,picture5_neutral.jpg,1,13
sub44,picture7_neutral.jpg,1,13
sub44,picture8_neutral.jpg,1,12
sub44,picture9_neutral.jpg,1,10
sub45,picture1_threat.jpg,2,10.5
sub45,picture2_neutral.jpg,2,9
sub45,picture2_threat.jpg,2,9
sub45,picture3_neutral.jpg,2,10
sub45,picture3_threat.jpg,2,7
sub45,picture4_neutral.jpg,2,11
sub45,picture4_threat.jpg,2,3.5
sub45,picture6_neutral.jpg,2,9.5
sub45,picture8_neutral.jpg,2,5.5
sub45,picture9_neutral.jpg,2,2
sub46,picture1_neutral.jpg,1,10
sub46,picture1_threat.jpg,1,18
sub46,picture2_neutral.jpg,1,18
sub46,picture2_threat.jpg,1,9
sub46,picture3_neutral.jpg,1,19
sub46,picture3_threat.jpg,1,3
sub46,picture4_neutral.jpg,1,19
sub46,picture4_threat.jpg,1,8
sub46,picture7_neutral.jpg,1,4
sub46,picture9_neutral.jpg,1,17
sub47,picture1_threat.jpg,1,24
sub47,picture2_neutral.jpg,1,8
sub47,picture2_threat.jpg,1,25
sub47,picture3_neutral.jpg,1,25
sub47,picture3_threat.jpg,1,23
sub47,picture4_neutral.jpg,1,22
sub47,picture4_threat.jpg,1,20
sub47,picture7_neutral.jpg,1,1
sub47,picture8_neutral.jpg,1,1
sub47,picture9_neutral.jpg,1,14
sub48,picture1_neutral.jpg,1,16
sub48,picture1_threat.jpg,1,15
sub48,picture2_threat.jpg,1,1
sub48,picture3_neutral.jpg,1,17
sub48,picture3_threat.jpg,1,17
sub48,picture4_neutral.jpg,1,6
sub48,picture4_threat.jpg,1,13
sub48,picture5_neutral.jpg,1,3
sub48,picture7_neutral.jpg,1,14
sub48,picture8_neutral.jpg,1,12
sub49,picture1_neutral.jpg,1,3
sub49,picture1_threat.jpg,1,15
sub49,picture2_neutral.jpg,1,2
sub49,picture2_threat.jpg,1,6
sub49,picture3_neutral.jpg,1,2
sub49,picture3_threat.jpg,1,15
sub49,picture4_threat.jpg,1,14
sub49,picture5_neutral.jpg,1,13
sub49,picture6_neutral.jpg,1,8
sub49,picture9_neutral.jpg,1,12
sub5,picture10_neutral.jpg,1,1
sub5,picture1_neutral.jpg,1,9
sub5,picture1_threat.jpg,1,5
sub5,picture2_neutral.jpg,1,10
sub5,picture2_threat.jpg,1,1
sub5,picture3_threat.jpg,1,7
sub5,picture4_threat.jpg,1,10
sub5,picture7_neutral.jpg,1,8
sub5,picture8_neutral.jpg,1,1
sub5,picture9_neutral.jpg,1,2
sub50,picture1_neutral.jpg,1,8
sub50,picture1_threat.jpg,1,11
sub50,picture2_threat.jpg,1,1
sub50,picture3_neutral.jpg,1,18
sub50,picture3_threat.jpg,1,17
sub50,picture4_threat.jpg,1,1
sub50,picture5_neutral.jpg,1,15
