subject,trialCount,src,first_correct_no_further_mistakes_1
sub17,1,picture1_threat.jpg,30
sub17,1,picture2_neutral.jpg,26
sub17,1,picture2_threat.jpg,22
sub17,1,picture3_threat.jpg,10
sub17,1,picture4_threat.jpg,2
sub17,1,picture6_neutral.jpg,30
sub17,1,picture7_neutral.jpg,13
sub17,1,picture8_neutral.jpg,29
sub17,1,picture9_neutral.jpg,28
sub17,2,picture1_neutral.jpg,11
sub17,2,picture1_threat.jpg,17
sub17,2,picture2_neutral.jpg,6
sub17,2,picture2_threat.jpg,10
sub17,2,picture3_threat.jpg,13
sub17,2,picture4_threat.jpg,1
sub17,2,picture6_neutral.jpg,14
sub17,2,picture7_neutral.jpg,1
sub17,2,picture8_neutral.jpg,17
sub17,2,picture9_neutral.jpg,16
sub17,3,picture1_neutral.jpg,1
sub17,3,picture1_threat.jpg,1
sub17,3,picture2_neutral.jpg,1
sub17,3,picture2_threat.jpg,1
sub17,3,picture3_threat.jpg,1
sub17,3,picture4_threat.jpg,1
sub17,3,picture6_neutral.jpg,2
sub17,3,picture7_neutral.jpg,1
sub17,3,picture8_neutral.jpg,1
sub17,3,picture9_neutral.jpg,2
sub18,1,picture10_neutral.jpg,8
sub18,1,picture1_threat.jpg,9
sub18,1,picture2_threat.jpg,1
sub18,1,picture3_neutral.jpg,7
sub18,1,picture3_threat.jpg,9
sub18,1,picture4_neutral.jpg,1
sub18,1,picture4_threat.jpg,5
sub18,1,picture7_neutral.jpg,5
sub18,1,picture8_neutral.jpg,8
sub18,1,picture9_neutral.jpg,6
sub19,1,picture1_neutral.jpg,12
sub19,1,picture1_threat.jpg,15
sub19,1,picture2_neutral.jpg,7
sub19,1,picture2_threat.jpg,1
sub19,1,picture3_neutral.jpg,14
sub19,1,picture3_threat.jpg,14
sub19,1,picture4_threat.jpg,7
sub19,1,picture5_neutral.jpg,5
sub19,1,picture7_neutral.jpg,4
sub19,1,picture9_neutral.jpg,15
sub2,1,picture10_neutral.jpg,19
sub2,1,picture1_neutral.jpg,9
sub2,1,picture1_threat.jpg,11
sub2,1,picture2_threat.jpg,20
sub2,1,picture3_neutral.jpg,19
sub2,1,picture3_threat.jpg,15
sub2,1,picture4_neutral.jpg,21
sub2,1,picture4_threat.jpg,21
sub2,1,picture8_neutral.jpg,6
sub2,1,picture9_neutral.jpg,1
sub20,1,picture1_neutral.jpg,22
sub20,1,picture1_threat.jpg,22
sub20,1,picture2_threat.jpg,20
sub20,1,picture3_neutral.jpg,21
sub20,1,picture3_threat.jpg,6
sub20,1,picture4_neutral.jpg,1
sub20,1,picture4_threat.jpg,16
sub20,1,picture5_neutral.jpg,1
sub20,1,picture7_neutral.jpg,1
sub20,1,picture9_neutral.jpg,17
sub20,2,picture1_neutral.jpg,1
sub20,2,picture1_threat.jpg,2
sub20,2,picture2_threat.jpg,1
sub20,2,picture3_neutral.jpg,2
sub20,2,picture3_threat.jpg,1
sub20,2,picture4_neutral.jpg,1
sub20,2,picture4_threat.jpg,1
sub20,2,picture5_neutral.jpg,1
sub20,2,picture7_neutral.jpg,1
sub20,2,picture9_neutral.jpg,1
sub21,1,picture10_neutral.jpg,21
sub21,1,picture1_threat.jpg,19
sub21,1,picture2_threat.jpg,21
sub21,1,picture3_neutral.jpg,1
sub21,1,picture3_threat.jpg,18
sub21,1,picture4_neutral.jpg,2
sub21,1,picture4_threat.jpg,20
sub21,1,picture5_neutral.jpg,11
sub21,1,picture6_neutral.jpg,11
sub21,1,picture9_neutral.jpg,1
sub21,2,picture10_neutral.jpg,8
sub21,2,picture1_threat.jpg,7
sub21,2,picture2_threat.jpg,3
sub21,2,picture3_neutral.jpg,10
sub21,2,picture3_threat.jpg,1
sub21,2,picture4_neutral.jpg,4
sub21,2,picture4_threat.jpg,9
sub21,2,picture5_neutral.jpg,10
sub21,2,picture6_neutral.jpg,5
sub21,2,picture9_neutral.jpg,3
sub22,1,picture10_neutral.jpg,4
sub22,1,picture1_neutral.jpg,2
sub22,1,picture1_threat.jpg,14
sub22,1,picture2_threat.jpg,14
sub22,1,picture3_threat.jpg,4
sub22,1,picture4_neutral.jpg,13
sub22,1,picture4_threat.jpg,1
sub22,1,picture5_neutral.jpg,13
sub22,1,picture8_neutral.jpg,9
sub22,1,picture9_neutral.jpg,9
sub23,1,picture10_neutral.jpg,20
sub23,1,picture1_neutral.jpg,20
sub23,1,picture1_threat.jpg,22
sub23,1,picture2_neutral.jpg,24
sub23,1,picture2_threat.jpg,15
sub23,1,picture3_threat.jpg,25
sub23,1,picture4_threat.jpg,17
sub23,1,picture6_neutral.jpg,25
sub23,1,picture8_neutral.jpg,9
sub23,1,picture9_neutral.jpg,23
sub23,4,picture10_neutral.jpg,1
sub23,4,picture1_neutral.jpg,2
sub23,4,picture1_threat.jpg,1
sub23,4,picture2_neutral.jpg,1
sub23,4,picture2_threat.jpg,1
sub23,4,picture3_threat.jpg,1
sub23,4,picture4_threat.jpg,1
sub23,4,picture6_neutral.jpg,1
sub23,4,picture8_neutral.jpg,2
sub23,4,picture9_neutral.jpg,1
sub24,1,picture10_neutral.jpg,1
sub24,1,picture1_neutral.jpg,1
sub24,1,picture1_threat.jpg,10
sub24,1,picture2_neutral.jpg,2
sub24,1,picture2_threat.jpg,1
sub24,1,picture3_threat.jpg,13
sub24,1,picture4_threat.jpg,11
sub24,1,picture5_neutral.jpg,13
sub24,1,picture6_neutral.jpg,12
sub24,1,picture8_neutral.jpg,8
sub25,1,picture1_threat.jpg,9
sub25,1,picture2_neutral.jpg,9
sub25,1,picture2_threat.jpg,15
sub25,1,picture3_neutral.jpg,1
sub25,1,picture3_threat.jpg,18
sub25,1,picture4_neutral.jpg,4
sub25,1,picture4_threat.jpg,10
sub25,1,picture5_neutral.jpg,17
sub25,1,picture6_neutral.jpg,18
sub25,1,picture7_neutral.jpg,13
sub26,1,picture1_neutral.jpg,1
sub26,1,picture1_threat.jpg,1
sub26,1,picture2_neutral.jpg,1
sub26,1,picture2_threat.jpg,8
sub26,1,picture3_threat.jpg,9
sub26,1,picture4_threat.jpg,14
sub26,1,picture5_neutral.jpg,12
sub26,1,picture6_neutral.jpg,15
sub26,1,picture7_neutral.jpg,15
sub26,1,picture9_neutral.jpg,8
sub28,1,picture1_threat.jpg,27
sub28,1,picture2_neutral.jpg,5
sub28,1,picture2_threat.jpg,18
sub28,1,picture3_neutral.jpg,21
sub28,1,picture3_threat.jpg,31
sub28,1,picture4_neutral.jpg,26
sub28,1,picture4_threat.jpg,12
sub28,1,picture5_neutral.jpg,3
sub28,1,picture8_neutral.jpg,31
sub28,1,picture9_neutral.jpg,26
sub28,2,picture1_threat.jpg,6
sub28,2,picture2_neutral.jpg,6
sub28,2,picture2_threat.jpg,3
sub28,2,picture3_neutral.jpg,2
sub28,2,picture3_threat.jpg,6
sub28,2,picture4_neutral.jpg,6
sub28,2,picture4_threat.jpg,6
sub28,2,picture5_neutral.jpg,4
sub28,2,picture8_neutral.jpg,6
sub28,2,picture9_neutral.jpg,6
sub29,1,picture10_neutral.jpg,21
sub29,1,picture1_neutral.jpg,19
sub29,1,picture1_threat.jpg,28
sub29,1,picture2_neutral.jpg,28
sub29,1,picture2_threat.jpg,14
sub29,1,picture3_neutral.jpg,24
sub29,1,picture3_threat.jpg,4
sub29,1,picture4_threat.jpg,26
sub29,1,picture5_neutral.jpg,27
sub29,1,picture7_neutral.jpg,7
sub30,1,picture10_neutral.jpg,15
sub30,1,picture1_threat.jpg,3
sub30,1,picture2_threat.jpg,7
sub30,1,picture3_neutral.jpg,14
sub30,1,picture3_threat.jpg,11
sub30,1,picture4_neutral.jpg,13
sub30,1,picture4_threat.jpg,9
sub30,1,picture5_neutral.jpg,15
sub30,1,picture6_neutral.jpg,1
sub30,1,picture9_neutral.jpg,4
sub31,1,picture10_neutral.jpg,10
sub31,1,picture1_threat.jpg,12
sub31,1,picture2_neutral.jpg,8
sub31,1,picture2_threat.jpg,10
sub31,1,picture3_threat.jpg,17
sub31,1,picture4_neutral.jpg,19
sub31,1,picture4_threat.jpg,14
sub31,1,picture6_neutral.jpg,19
sub31,1,picture8_neutral.jpg,18
sub31,1,picture9_neutral.jpg,6
sub31,4,picture10_neutral.jpg,1
sub31,4,picture1_threat.jpg,1
sub31,4,picture2_neutral.jpg,1
sub31,4,picture2_threat.jpg,1
sub31,4,picture3_threat.jpg,1
sub31,4,picture4_neutral.jpg,2
sub31,4,picture4_threat.jpg,2
sub31,4,picture6_neutral.jpg,1
sub31,4,picture8_neutral.jpg,1
sub31,4,picture9_neutral.jpg,1
sub32,1,picture1_neutral.jpg,5
sub32,1,picture1_threat.jpg,8
sub32,1,picture2_neutral.jpg,10
sub32,1,picture2_threat.jpg,1
sub32,1,picture3_threat.jpg,11
sub32,1,picture4_neutral.jpg,7
sub32,1,picture4_threat.jpg,11
sub32,1,picture5_neutral.jpg,9
sub32,1,picture6_neutral.jpg,2
sub32,1,picture9_neutral.jpg,4
sub33,1,picture10_neutral.jpg,8
sub33,1,picture1_neutral.jpg,10
sub33,1,picture1_threat.jpg,1
sub33,1,picture2_neutral.jpg,7
sub33,1,picture2_threat.jpg,1
sub33,1,picture3_neutral.jpg,1
sub33,1,picture3_threat.jpg,9
sub33,1,picture4_threat.jpg,2
sub33,1,picture5_neutral.jpg,10
sub33,1,picture6_neutral.jpg,3
sub34,1,picture10_neutral.jpg,10
sub34,1,picture1_neutral.jpg,5
sub34,1,picture1_threat.jpg,11
sub34,1,picture2_neutral.jpg,2
sub34,1,picture2_threat.jpg,6
sub34,1,picture3_neutral.jpg,1
sub34,1,picture3_threat.jpg,1
sub34,1,picture4_threat.jpg,9
sub34,1,picture5_neutral.jpg,7
sub34,1,picture8_neutral.jpg,11
sub34,2,picture10_neutral.jpg,9
sub34,2,picture1_neutral.jpg,1
sub34,2,picture1_threat.jpg,5
sub34,2,picture2_neutral.jpg,10
sub34,2,picture2_threat.jpg,11
sub34,2,picture3_neutral.jpg,5
sub34,2,picture3_threat.jpg,5
sub34,2,picture4_threat.jpg,11
sub34,2,picture5_neutral.jpg,7
sub34,2,picture8_neutral.jpg,1
sub34,3,picture10_neutral.jpg,10
sub34,3,picture1_neutral.jpg,22
sub34,3,picture1_threat.jpg,29
sub34,3,picture2_neutral.jpg,19
sub34,3,picture2_threat.jpg,22
sub34,3,picture3_neutral.jpg,21
sub34,3,picture3_threat.jpg,23
sub34,3,picture4_threat.jpg,26
sub34,3,picture5_neutral.jpg,29
sub34,3,picture8_neutral.jpg,27
sub34,4,picture10_neutral.jpg,6
sub34,4,picture1_neutral.jpg,1
sub34,4,picture1_threat.jpg,11
sub34,4,picture2_neutral.jpg,13
sub34,4,picture2_threat.jpg,14
sub34,4,picture3_neutral.jpg,1
sub34,4,picture3_threat.jpg,2
sub34,4,picture4_threat.jpg,14
sub34,4,picture5_neutral.jpg,12
sub34,4,picture8_neutral.jpg,11
sub34,5,picture10_neutral.jpg,1
sub34,5,picture1_neutral.jpg,1
sub34,5,picture1_threat.jpg,3
sub34,5,picture2_neutral.jpg,3
sub34,5,picture2_threat.jpg,1
sub34,5,picture3_neutral.jpg,1
sub34,5,picture3_threat.jpg,1
sub34,5,picture4_threat.jpg,1
sub34,5,picture5_neutral.jpg,1
sub34,5,picture8_neutral.jpg,2
sub34,6,picture10_neutral.jpg,1
sub34,6,picture1_neutral.jpg,1
sub34,6,picture1_threat.jpg,3
sub34,6,picture2_neutral.jpg,1
sub34,6,picture2_threat.jpg,4
sub34,6,picture3_neutral.jpg,1
sub34,6,picture3_threat.jpg,1
sub34,6,picture4_threat.jpg,1
sub34,6,picture5_neutral.jpg,4
sub34,6,picture8_neutral.jpg,3
sub35,1,picture1_neutral.jpg,2
sub35,1,picture1_threat.jpg,36
sub35,1,picture2_neutral.jpg,12
sub35,1,picture2_threat.jpg,34
sub35,1,picture3_neutral.jpg,32
sub35,1,picture3_threat.jpg,35
sub35,1,picture4_threat.jpg,37
sub35,1,picture6_neutral.jpg,32
sub35,1,picture7_neutral.jpg,17
sub35,1,picture8_neutral.jpg,37
sub36,1,picture1_threat.jpg,30
sub36,1,picture2_neutral.jpg,28
sub36,1,picture2_threat.jpg,24
sub36,1,picture3_neutral.jpg,29
sub36,1,picture3_threat.jpg,12
sub36,1,picture4_neutral.jpg,30
sub36,1,picture4_threat.jpg,15
sub36,1,picture5_neutral.jpg,4
sub36,1,picture6_neutral.jpg,27
sub36,1,picture7_neutral.jpg,6
sub37,1,picture1_threat.jpg,1
sub37,1,picture2_neutral.jpg,5
sub37,1,picture2_threat.jpg,8
sub37,1,picture3_neutral.jpg,5
sub37,1,picture3_threat.jpg,9
sub37,1,picture4_neutral.jpg,4
sub37,1,picture4_threat.jpg,6
sub37,1,picture6_neutral.jpg,7
sub37,1,picture7_neutral.jpg,5
sub37,1,picture9_neutral.jpg,9
sub37,2,picture1_threat.jpg,1
sub37,2,picture2_neutral.jpg,1
sub37,2,picture2_threat.jpg,3
sub37,2,picture3_neutral.jpg,4
sub37,2,picture3_threat.jpg,1
sub37,2,picture4_neutral.jpg,1
sub37,2,picture4_threat.jpg,1
sub37,2,picture6_neutral.jpg,2
sub37,2,picture7_neutral.jpg,4
sub37,2,picture9_neutral.jpg,1
sub38,1,picture1_neutral.jpg,2
sub38,1,picture1_threat.jpg,8
sub38,1,picture2_threat.jpg,1
sub38,1,picture3_neutral.jpg,1
sub38,1,picture3_threat.jpg,7
sub38,1,picture4_neutral.jpg,7
sub38,1,picture4_threat.jpg,8
sub38,1,picture7_neutral.jpg,1
sub38,1,picture8_neutral.jpg,5
sub38,1,picture9_neutral.jpg,1
sub38,2,picture1_neutral.jpg,1
sub38,2,picture1_threat.jpg,3
sub38,2,picture2_threat.jpg,5
sub38,2,picture3_neutral.jpg,5
sub38,2,picture3_threat.jpg,5
sub38,2,picture4_neutral.jpg,2
sub38,2,picture4_threat.jpg,5
sub38,2,picture7_neutral.jpg,5
sub38,2,picture8_neutral.jpg,5
sub38,2,picture9_neutral.jpg,5
sub39,1,picture10_neutral.jpg,10
sub39,1,picture1_neutral.jpg,1
sub39,1,picture1_threat.jpg,12
sub39,1,picture2_neutral.jpg,5
sub39,1,picture2_threat.jpg,1
sub39,1,picture3_threat.jpg,12
sub39,1,picture4_threat.jpg,5
sub39,1,picture6_neutral.jpg,1
sub39,1,picture8_neutral.jpg,6
sub39,1,picture9_neutral.jpg,11
sub4,1,picture10_neutral.jpg,3
sub4,1,picture1_neutral.jpg,4
sub4,1,picture1_threat.jpg,1
sub4,1,picture2_threat.jpg,2
sub4,1,picture3_threat.jpg,4
sub4,1,picture4_threat.jpg,3
sub4,1,picture5_neutral.jpg,5
sub4,1,picture6_neutral.jpg,1
sub4,1,picture7_neutral.jpg,4
sub4,1,picture9_neutral.jpg,5
sub40,1,picture10_neutral.jpg,16
sub40,1,picture1_neutral.jpg,27
sub40,1,picture1_threat.jpg,30
sub40,1,picture2_neutral.jpg,29
sub40,1,picture2_threat.jpg,31
sub40,1,picture3_threat.jpg,10
sub40,1,picture4_neutral.jpg,30
sub40,1,picture4_threat.jpg,8
sub40,1,picture7_neutral.jpg,19
sub40,1,picture9_neutral.jpg,31
sub40,2,picture10_neutral.jpg,1
sub40,2,picture1_neutral.jpg,1
sub40,2,picture1_threat.jpg,1
sub40,2,picture2_neutral.jpg,1
sub40,2,picture2_threat.jpg,1
sub40,2,picture3_threat.jpg,1
sub40,2,picture4_neutral.jpg,2
sub40,2,picture4_threat.jpg,2
sub40,2,picture7_neutral.jpg,2
sub40,2,picture9_neutral.jpg,2
sub41,1,picture10_neutral.jpg,2
sub41,1,picture1_neutral.jpg,19
sub41,1,picture1_threat.jpg,7
sub41,1,picture2_neutral.jpg,23
sub41,1,picture2_threat.jpg,10
sub41,1,picture3_neutral.jpg,20
sub41,1,picture3_threat.jpg,22
sub41,1,picture4_threat.jpg,23
sub41,1,picture7_neutral.jpg,20
sub41,1,picture9_neutral.jpg,15
sub41,2,picture10_neutral.jpg,1
sub41,2,picture1_neutral.jpg,8
sub41,2,picture1_threat.jpg,8
sub41,2,picture2_neutral.jpg,2
sub41,2,picture2_threat.jpg,1
sub41,2,picture3_neutral.jpg,1
sub41,2,picture3_threat.jpg,3
sub41,2,picture4_threat.jpg,2
sub41,2,picture7_neutral.jpg,7
sub41,2,picture9_neutral.jpg,6
sub41,3,picture10_neutral.jpg,1
sub41,3,picture1_neutral.jpg,1
sub41,3,picture1_threat.jpg,1
sub41,3,picture2_neutral.jpg,3
sub41,3,picture2_threat.jpg,1
sub41,3,picture3_neutral.jpg,1
sub41,3,picture3_threat.jpg,1
sub41,3,picture4_threat.jpg,3
sub41,3,picture7_neutral.jpg,1
sub41,3,picture9_neutral.jpg,1
sub41,4,picture10_neutral.jpg,1
sub41,4,picture1_neutral.jpg,1
sub41,4,picture1_threat.jpg,1
sub41,4,picture2_neutral.jpg,1
sub41,4,picture2_threat.jpg,2
sub41,4,picture3_neutral.jpg,1
sub41,4,picture3_threat.jpg,1
sub41,4,picture4_threat.jpg,1
sub41,4,picture7_neutral.jpg,2
sub41,4,picture9_neutral.jpg,1
