subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus,combined_comnums,target_node,target_threat,nontarget_comb,nontarget_threat
sub95,15,1931,1,3,Node8,picture1.jpg,2,threat,1,threat,1,threat,2,threat,112,,threat,threatthreat,has_threat
sub95,16,2855,1,1,Node1,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub95,17,1712,1,3,Node8,picture1.jpg,2,threat,1,threat,1,threat,2,threat,112,,threat,threatthreat,has_threat
sub95,18,2181,1,3,Node9,picture9.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub95,19,2479,1,1,Node1,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral,122,,neutral,neutralneutral,no_threat
sub95,20,1815,1,1,Node8,picture1.jpg,2,threat,2,threat,1,threat,1,threat,211,,threat,threatthreat,has_threat
sub95,21,2343,1,3,Node10,picture10.jpg,2,neutral,1,threat,1,neutral,2,neutral,112,,neutral,threatneutral,has_threat
sub95,22,2759,1,1,Node8,picture1.jpg,2,threat,2,threat,1,threat,1,threat,211,,threat,threatthreat,has_threat
sub95,23,2318,1,1,Node6,picture3.jpg,2,neutral,2,neutral,1,neutral,1,neutral,211,,neutral,neutralneutral,no_threat
sub95,24,1983,1,2,Node8,picture1.jpg,2,threat,1,threat,2,threat,1,threat,121,,threat,threatthreat,has_threat
sub95,25,1942,1,1,Node3,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral,122,,threat,neutralneutral,no_threat
sub95,26,2600,1,2,Node2,picture2.jpg,1,neutral,2,neutral,1,neutral,2,neutral,212,,neutral,neutralneutral,no_threat
sub95,27,3749,1,2,Node10,picture10.jpg,2,neutral,1,threat,2,neutral,1,neutral,121,,neutral,threatneutral,has_threat
sub95,28,2500,1,1,Node9,picture9.jpg,2,neutral,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub95,29,2199,1,1,Node10,picture10.jpg,2,neutral,2,neutral,1,neutral,1,threat,211,,neutral,neutralthreat,has_threat
sub95,30,1816,1,2,Node8,picture1.jpg,2,threat,1,threat,2,threat,1,threat,121,,threat,threatthreat,has_threat
sub95,31,13927,1,1,Node6,picture3.jpg,2,neutral,2,neutral,1,neutral,1,neutral,211,,neutral,neutralneutral,no_threat
sub95,32,2607,1,3,Node4,picture4.jpg,1,threat,2,neutral,2,threat,1,threat,221,,threat,neutralthreat,has_threat
sub95,33,4497,1,3,Node1,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral,221,,neutral,neutralneutral,no_threat
sub95,34,5239,1,2,Node9,picture9.jpg,2,neutral,1,neutral,2,neutral,1,threat,121,,neutral,neutralthreat,has_threat
