subject,trialCount,trialAttempt,RT,nCorrect,dragThreat,dragAcc,swappedThreat,swappedAcc,slot0Acc,slot0CurrentType,slot0CorrectType,slot0CurrentSRC,slot0CorrectSRC,slot1Acc,slot1CurrentType,slot1CorrectType,slot1CurrentSRC,slot1CorrectSRC,slot2Acc,slot2CurrentType,slot2CorrectType,slot2CurrentSRC,slot2CorrectSRC,slot3Acc,slot3CurrentType,slot3CorrectType,slot3CurrentSRC,slot3CorrectSRC,slot4Acc,slot4CurrentType,slot4CorrectType,slot4CurrentSRC,slot4CorrectSRC,slot5Acc,slot5CurrentType,slot5CorrectType,slot5CurrentSRC,slot5CorrectSRC,slot6Acc,slot6CurrentType,slot6CorrectType,slot6CurrentSRC,slot6CorrectSRC,slot7Acc,slot7CurrentType,slot7CorrectType,slot7CurrentSRC,slot7CorrectSRC,slot8Acc,slot8CurrentType,slot8CorrectType,slot8CurrentSRC,slot8CorrectSRC,slot9Acc,slot9CurrentType,slot9CorrectType,slot9CurrentSRC,slot9CorrectSRC
a273wocs111dh0,1,2,73163,3,NA,NA,NA,NA,0,neutral,threat,picture10.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,0,threat,neutral,picture2.jpg,picture5.jpg,0,threat,neutral,picture3.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture6.jpg,picture3.jpg,0,neutral,threat,picture5.jpg,picture4.jpg,0,threat,neutral,picture1.jpg,picture10.jpg
a273wocs111dh0,1,3,73163,NA,threat,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,3,73163,NA,threat,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,3,76739,3,NA,NA,NA,NA,0,neutral,threat,picture10.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture3.jpg,picture2.jpg,0,threat,neutral,picture4.jpg,picture5.jpg,0,threat,neutral,picture2.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture6.jpg,picture3.jpg,0,neutral,threat,picture5.jpg,picture4.jpg,0,threat,neutral,picture1.jpg,picture10.jpg
a273wocs111dh0,1,4,76739,NA,neutral,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,4,80699,3,NA,NA,NA,NA,0,neutral,threat,picture10.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture3.jpg,picture2.jpg,0,threat,neutral,picture4.jpg,picture5.jpg,0,threat,neutral,picture2.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture5.jpg,picture3.jpg,0,neutral,threat,picture6.jpg,picture4.jpg,0,threat,neutral,picture1.jpg,picture10.jpg
a273wocs111dh0,1,5,80699,NA,threat,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,5,88563,3,NA,NA,NA,NA,0,neutral,threat,picture10.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture3.jpg,picture2.jpg,0,threat,neutral,picture4.jpg,picture5.jpg,0,threat,neutral,picture2.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture5.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,neutral,neutral,picture6.jpg,picture10.jpg
a273wocs111dh0,1,6,88563,NA,neutral,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,6,93026,3,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture3.jpg,picture2.jpg,0,threat,neutral,picture4.jpg,picture5.jpg,0,neutral,neutral,picture10.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture5.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,neutral,neutral,picture6.jpg,picture10.jpg
a273wocs111dh0,1,7,93026,NA,threat,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,7,93026,NA,threat,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,7,98923,3,NA,NA,NA,NA,0,neutral,threat,picture6.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,0,threat,neutral,picture3.jpg,picture5.jpg,0,neutral,neutral,picture10.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture5.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,threat,neutral,picture2.jpg,picture10.jpg
a273wocs111dh0,1,8,98923,NA,threat,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,8,103458,3,NA,NA,NA,NA,0,neutral,threat,picture6.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,0,neutral,neutral,picture10.jpg,picture5.jpg,0,threat,neutral,picture3.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,neutral,threat,picture5.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,threat,neutral,picture2.jpg,picture10.jpg
a273wocs111dh0,1,9,103458,NA,threat,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,9,107570,3,NA,NA,NA,NA,0,neutral,threat,picture6.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,0,neutral,neutral,picture10.jpg,picture5.jpg,0,threat,neutral,picture3.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture2.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,neutral,neutral,picture5.jpg,picture10.jpg
a273wocs111dh0,1,10,107570,NA,threat,0,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,10,112378,3,NA,NA,NA,NA,0,neutral,threat,picture6.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,neutral,threat,picture5.jpg,picture2.jpg,0,neutral,neutral,picture10.jpg,picture5.jpg,0,threat,neutral,picture3.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture2.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,threat,neutral,picture4.jpg,picture10.jpg
a273wocs111dh0,1,11,112378,NA,neutral,1,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,11,112378,NA,threat,0,neutral,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,11,116995,5,NA,NA,NA,NA,0,threat,threat,picture3.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,neutral,threat,picture10.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture2.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,threat,neutral,picture4.jpg,picture10.jpg
a273wocs111dh0,1,12,116995,NA,threat,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,12,121954,5,NA,NA,NA,NA,0,threat,threat,picture4.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,neutral,threat,picture10.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture2.jpg,picture3.jpg,0,threat,threat,picture1.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,13,121954,NA,threat,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,13,125322,5,NA,NA,NA,NA,0,threat,threat,picture4.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,neutral,threat,picture10.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture1.jpg,picture3.jpg,0,threat,threat,picture2.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,14,125322,NA,threat,0,threat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,14,128418,6,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,neutral,threat,picture10.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture1.jpg,picture3.jpg,1,threat,threat,picture4.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,15,128418,NA,neutral,0,threat,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,15,131346,5,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture1.jpg,picture3.jpg,0,neutral,threat,picture10.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,16,132338,5,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture1.jpg,picture3.jpg,0,neutral,threat,picture10.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,17,136226,5,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,0,threat,threat,picture1.jpg,picture3.jpg,0,neutral,threat,picture10.jpg,picture4.jpg,0,threat,neutral,picture3.jpg,picture10.jpg
a273wocs111dh0,1,18,136226,NA,threat,0,threat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,18,140858,6,NA,NA,NA,NA,0,threat,threat,picture2.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,1,threat,threat,picture3.jpg,picture3.jpg,0,neutral,threat,picture10.jpg,picture4.jpg,0,threat,neutral,picture1.jpg,picture10.jpg
a273wocs111dh0,1,19,140858,NA,threat,0,threat,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a273wocs111dh0,1,19,145403,7,NA,NA,NA,NA,1,threat,threat,picture1.jpg,picture1.jpg,1,neutral,neutral,picture9.jpg,picture9.jpg,0,threat,threat,picture4.jpg,picture2.jpg,1,neutral,neutral,picture5.jpg,picture5.jpg,1,neutral,neutral,picture6.jpg,picture6.jpg,1,neutral,neutral,picture3.jpg,picture3.jpg,1,neutral,neutral,picture4.jpg,picture4.jpg,1,threat,threat,picture3.jpg,picture3.jpg,0,neutral,threat,picture10.jpg,picture4.jpg,0,threat,neutral,picture2.jpg,picture10.jpg
a273wocs111dh0,1,20,145403,NA,threat,1,neutral,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
