subject,transition_threat,correct_rejections,false_alarms,hits,misses
sub86,no_threat,48,2,20,0
sub87,contains_threat,126,0,28,0
sub87,no_threat,34,0,12,0
sub88,contains_threat,90,8,17,8
sub88,no_threat,58,4,6,9
sub89,contains_threat,113,1,27,1
sub89,no_threat,46,0,11,1
sub9,contains_threat,106,9,24,1
sub9,no_threat,45,0,14,1
sub90,contains_threat,118,7,17,11
sub90,no_threat,33,2,4,8
sub91,contains_threat,120,3,11,15
sub91,no_threat,32,5,8,6
sub92,contains_threat,113,0,26,0
sub92,no_threat,48,0,13,0
sub93,contains_threat,107,0,26,4
sub93,no_threat,52,1,10,0
sub94,contains_threat,116,1,30,1
sub94,no_threat,43,1,7,1
sub95,contains_threat,106,3,19,1
sub95,no_threat,51,0,19,1
sub96,contains_threat,108,1,28,2
sub96,no_threat,48,3,10,0
sub97,contains_threat,109,5,20,2
sub97,no_threat,44,2,13,5
sub98,contains_threat,119,2,27,4
sub98,no_threat,40,0,6,2
sub99,contains_threat,117,4,19,1
sub99,no_threat,38,1,20,0
